Company Name,Job Title,Salary,Min salary,Max salary,Fourchette
Dataiku,Data Scientist,58294,47k,85k,47377 - 85369 Fourchette
Business & Decision Group,Data Scientist,42628,33k,59k,33000 - 58530 Fourchette
Accenture,Data Scientist,46228,40k,59k,39897 - 58692 Fourchette
Allianz,Data Scientist - Stagiaire mensuel,1729,849,2k,849 - 1980 Fourchette
Groupe BPCE,Data Analyst,42154,39k,73k,39269 - 72743 Fourchette
Natixis,Data Analyst,51802,21k,61k,20961 - 60514 Fourchette
Cdiscount,Data Analyst,40709,33k,48k,32687 - 47711 Fourchette
Airbus,Data Analyst - Stagiaire mensuel,1170,786,1k,786 - 1227 Fourchette
AXA,Data Analyst - Stagiaire mensuel,1637,1k,2k,1004 - 1861 Fourchette
Caisse d'Epargne,Data Analyst,42624,20k,79k,19841 - 78605 Fourchette
Artefact,Senior Data Scientist,64482,62k,68k,62181 - 68069 Fourchette
BNP Paribas,Intern data scientist - Mensuel,2035,2k,2k,1597 - 2242 Fourchette
Fifty-Five,Data Analyst Associate - Stagiaire mensuel,1078,988,1k,988 - 1266 Fourchette
Ipsos,Data Scientist,40447,32k,58k,31856 - 57720 Fourchette
Sogeti,Data Scientist,35553,34k,55k,33963 - 55191 Fourchette
Micropole,Data Scientist,47377,35k,150k,35236 - 149645 Fourchette
CEA,Data Scientist,42157,28k,54k,28078 - 53645 Fourchette
FieldBox.ai,Data Scientist,47957,38k,55k,38359 - 55303 Fourchette
Heetch,Data Scientist,55239,48k,78k,47861 - 77641 Fourchette
Epsilon,Data Scientist,44670,17k,50k,16636 - 49603 Fourchette
SNCF Réseau,Data Scientist - Stagiaire mensuel,1118,1k,1k,1041 - 1306 Fourchette
Keyrus,Data Scientist,42628,33k,45k,32986 - 45284 Fourchette
Quinten,Data Scientist,47861,39k,51k,38783 - 51356 Fourchette
AKKA Technologies,Data Scientist,38450,32k,49k,31712 - 48695 Fourchette
Amazon,Data Scientist,57612,38k,79k,37941 - 78562 Fourchette
Jellysmack,Data Scientist,52226,50k,65k,50000 - 65282 Fourchette
ENGIE,Data Scientist - Stagiaire mensuel,1517,1k,2k,1078 - 1706 Fourchette
Aucun,Data Scientist,39899,19k,53k,19200 - 52696 Fourchette
QuantCube Technology,Data Scientist - Stagiaire mensuel,1492,1k,2k,1200 - 1550 Fourchette
Allianz,Data Scientist,51588,29k,59k,29355 - 59373 Fourchette
Generali,Data Scientist - Stagiaire mensuel,1520,131,2k,131 - 1622 Fourchette
LCL,Data Scientist,47957,43k,70k,42510 - 69662 Fourchette
QuantCube Technology,Data Scientist,47957,8k,57k,7763 - 56837 Fourchette
Veepee,Data Analyst,42000,32k,55k,32111 - 55000 Fourchette
Artefact,Data Analyst,45734,39k,59k,39000 - 59000 Fourchette
La Banque Postale,Data Analyst,42369,37k,53k,37322 - 53286 Fourchette
Oney,Data Analyst,41923,24k,62k,23607 - 62269 Fourchette
Safran,Data Analyst,40400,36k,48k,36182 - 47957 Fourchette
Bouygues Telecom,Data Analyst - Stagiaire mensuel,1279,895,2k,895 - 1595 Fourchette
Amazon,Data Analyst,47163,35k,200k,35000 - 200000 Fourchette
Contentsquare,Data Analyst,46203,22k,57k,22000 - 57466 Fourchette
Banque Populaire,Data Analyst,44707,25k,57k,24940 - 56596 Fourchette
Boston Consulting Group,Senior Data Scientist,115500,94k,138k,94451 - 137500 Fourchette
BNP Paribas,Data Scientist Intern - Mensuel,2182,1k,2k,1489 - 2238 Fourchette
Artefact,Data Consultant - Stagiaire mensuel,1279,1k,2k,1222 - 1500 Fourchette
EY,Consultant Data Scientist,47409,42k,52k,41563 - 51713 Fourchette
Linkfluence,Social Data Analyst,32346,32k,48k,31618 - 47774 Fourchette
Etudiant,Data Scientist - Stagiaire mensuel,936,818,3k,818 - 3451 Fourchette
Air Liquide,Data Scientist,50862,39k,110k,39303 - 110000 Fourchette
Kayrros,Data Scientist,49340,46k,60k,46362 - 60000 Fourchette
CS Group,Data Scientist,42345,38k,48k,38227 - 48000 Fourchette
Margo,Data Scientist,46587,43k,53k,43165 - 53452 Fourchette
AXA / France,Data Scientist,50258,48k,56k,47861 - 56268 Fourchette
Atos,Data Scientist - Stagiaire mensuel,1261,906,2k,906 - 1776 Fourchette
Metron (France),Data Scientist,53324,48k,58k,48049 - 57966 Fourchette
Sanofi,Data Scientist,61752,48k,78k,47957 - 77500 Fourchette
Etudiant,Data Scientist - Mensuel,2220,1k,4k,1450 - 3935 Fourchette
BNP Paribas Cardif,Data Scientist,47957,47k,69k,46503 - 68505 Fourchette
Renault Group,Data Scientist - Stagiaire mensuel,1230,1k,1k,1071 - 1294 Fourchette
Onogone,Data Scientist,45978,44k,53k,43646 - 52703 Fourchette
Talan,Data Scientist,41670,36k,48k,35681 - 47999 Fourchette
Direct Assurance,Data Scientist - Stagiaire mensuel,1873,2k,2k,1650 - 2021 Fourchette
ALTEN,Data Scientist - Stagiaire mensuel,1045,1k,1k,1033 - 1265 Fourchette
Rexel Group,Data Scientist,45067,40k,56k,40497 - 55831 Fourchette
AXA / France,Data Scientist - Stagiaire mensuel,1690,1k,2k,1492 - 1916 Fourchette
Microsoft,Data Scientist,55630,44k,89k,44000 - 88694 Fourchette
Openvalue,Data Scientist,53822,41k,63k,41417 - 62849 Fourchette
Bouygues Telecom,Data Scientist,53031,50k,64k,49603 - 63994 Fourchette
Orange Business Services,Data Scientist,44753,40k,58k,39652 - 58497 Fourchette
Direct Assurance,Data Scientist,47834,20k,58k,20400 - 57782 Fourchette
Withings,Data Scientist,49118,43k,59k,43132 - 59373 Fourchette
Numberly (1000mercis group),Data Analyst,39050,15k,50k,15383 - 50308 Fourchette
BlaBlaCar,Data Analyst,45611,31k,46k,31442 - 46104 Fourchette
Carrefour,Data Analyst,39919,31k,45k,31175 - 45000 Fourchette
IBM,Data Analyst,41226,34k,57k,34103 - 56837 Fourchette
Criteo,Data Analyst - Stagiaire mensuel,1608,2k,2k,1592 - 1650 Fourchette
Organisation for Economic Co-operation and Development,Data Analyst,49556,38k,64k,37941 - 63815 Fourchette
Safran,Data Analyst - Stagiaire mensuel,1267,1k,2k,1009 - 1776 Fourchette
Google,Data Analyst,56424,25k,85k,24802 - 85000 Fourchette
Accenture,Data Analyst,41529,40k,49k,40291 - 49213 Fourchette
Chanel,Data Analyst - Stagiaire mensuel,1478,1k,2k,1137 - 1532 Fourchette
Deloitte,Data Analyst,42972,23k,55k,22638 - 55000 Fourchette
PwC,Data Analyst,38222,29k,55k,29217 - 55216 Fourchette
Papernest,Data Analyst - Stagiaire mensuel,1041,1k,1k,1000 - 1066 Fourchette
Meero,Data Analyst,47163,40k,53k,40416 - 53286 Fourchette
Keyrus,Data Analyst,39850,32k,48k,32346 - 48069 Fourchette
Mazars,Data Analyst,43607,26k,47k,25977 - 47163 Fourchette
AVISIA,Consultant Data Scientist,43383,41k,56k,40971 - 55950 Fourchette
Société Générale,Data Quality Manager,50520,12k,58k,12000 - 57905 Fourchette
Inetum,Ingénieur big data,51648,35k,67k,34566 - 66815 Fourchette
JEMS Group,Data Scientist,45319,40k,90k,39899 - 89563 Fourchette
Banque de France,Data Scientist,48095,39k,61k,39000 - 60605 Fourchette
Freelance,Data Scientist,46503,42k,62k,42113 - 62004 Fourchette
Aperam,Data Scientist,43048,39k,45k,39450 - 44832 Fourchette
Davidson Consulting,Data Scientist,47957,43k,50k,42544 - 50000 Fourchette
La Javaness,Data Scientist,50217,48k,56k,47629 - 56488 Fourchette
PwC,Data Scientist,52220,47k,76k,46763 - 75900 Fourchette
Inria,Data Scientist,39979,23k,48k,22712 - 47861 Fourchette
Continental,Data Scientist,53306,46k,60k,45834 - 59507 Fourchette
SNCF,Data Scientist - Stagiaire mensuel,970,600,1k,600 - 1275 Fourchette
Abylsen,Data Scientist,30925,22k,48k,21600 - 47957 Fourchette
Avanade,Data Scientist,46324,41k,54k,41060 - 53783 Fourchette
L'Oréal,Data Scientist - Stagiaire mensuel,1497,1k,2k,1450 - 1537 Fourchette
L'Oréal,Data Scientist,51670,16k,71k,15954 - 71198 Fourchette
nam.R,Data Scientist,45392,42k,50k,42000 - 49988 Fourchette
Banque de France,Data Scientist - Stagiaire mensuel,1671,1k,2k,1398 - 1861 Fourchette
Groupe BPCE,Data Scientist,47957,41k,61k,41233 - 61127 Fourchette
happn,Data Scientist,50430,49k,53k,48771 - 53179 Fourchette
Renault Group,Data Scientist - Mensuel,1295,1k,1k,1069 - 1369 Fourchette
Saint-Gobain,Data Scientist,54747,43k,64k,42543 - 63562 Fourchette
KPMG,Data Scientist,51052,47k,53k,46891 - 53413 Fourchette
Equancy,Data Scientist,40979,39k,44k,39171 - 43646 Fourchette
CACIB,Data Scientist - Stagiaire mensuel,1900,204,2k,204 - 2025 Fourchette
Eulidia,Data Scientist,46945,43k,53k,42628 - 53179 Fourchette
Soft Computing,Data Scientist,43294,40k,45k,40416 - 44760 Fourchette
Veepee,Data Scientist,53102,43k,63k,43048 - 62884 Fourchette
Ministère de l'Éducation nationale,Data Scientist,44219,31k,61k,31062 - 60522 Fourchette
Saint-Gobain,Data Analyst,45202,42k,50k,41923 - 49500 Fourchette
Araxxe,Data Analyst,30136,22k,31k,22446 - 31270 Fourchette
Papernest,Data Analyst,45590,42k,50k,41923 - 49831 Fourchette
AKKA Technologies,Data Analyst,37780,34k,40k,34034 - 39600 Fourchette
LCL,Data Analyst,41978,41k,55k,40820 - 55000 Fourchette
La Redoute,Data Analyst,40971,31k,45k,31424 - 45153 Fourchette
AXA Partners,Data Analyst - Stagiaire mensuel,1702,1k,2k,1387 - 1860 Fourchette
Groupe M6,Data Analyst,40416,36k,47k,36162 - 46503 Fourchette
Cegedim,Data Analyst,42409,39k,47k,39462 - 46956 Fourchette
Kisio,Data Analyst,35618,34k,42k,33538 - 42276 Fourchette
happn,Data Analyst,50000,42k,60k,42000 - 60000 Fourchette
Amadeus,Data Analyst - Stagiaire mensuel,1168,638,1k,638 - 1276 Fourchette
Crédit Agricole,Data Analyst - Mensuel,1609,1k,2k,1340 - 2223 Fourchette
Sopra Steria,Data Analyst,36313,28k,48k,28058 - 47999 Fourchette
Dailymotion,Data Analyst,54469,52k,59k,52032 - 59300 Fourchette
Dashlane,Data Analyst,44869,24k,57k,24000 - 56948 Fourchette
Saegus,Data Analyst,45067,45k,48k,44530 - 47971 Fourchette
Sage,Data Analyst,47225,37k,60k,36623 - 59740 Fourchette
Société Générale,Big Data Engineer,49128,42k,121k,41567 - 121045 Fourchette
OWKIN,Senior Data Scientist,69132,63k,70k,62608 - 70000 Fourchette
EY,Senior Data Scientist,57291,48k,61k,47923 - 61265 Fourchette
Inserm,Data Manager - Mensuel,2205,2k,3k,1842 - 3230 Fourchette
Aixial Group,Data Manager,45319,42k,58k,42157 - 57612 Fourchette
CACEIS,Data Officer,39000,35k,48k,35000 - 47957 Fourchette
Umanis,Big Data Consultant,43086,42k,449k,41610 - 449011 Fourchette
Fifty-Five,Senior Data Consultant,48924,46k,51k,46000 - 50675 Fourchette
Capgemini Invent,consultant data,42182,41k,60k,41357 - 60000 Fourchette
VISEO,consultant data,41233,34k,63k,34102 - 63020 Fourchette
Artefact,consultant data,45195,40k,50k,40497 - 50279 Fourchette
Umanis,Ingénieur big data,42543,43k,136k,42543 - 136244 Fourchette
Umanis,Consultant Big Data,43127,35k,47k,35204 - 47000 Fourchette
Schneider Electric,Data Scientist - Stagiaire mensuel,1252,723,2k,723 - 1572 Fourchette
CELAD,Data Scientist - Horaire,43,15,68,15 - 68 Fourchette
Sanofi,Data Scientist - Mensuel,1715,2k,2k,1654 - 2008 Fourchette
Safran,Data Scientist - Stagiaire mensuel,1105,1k,1k,1064 - 1471 Fourchette
OCTO Technology,Data Scientist,51565,49k,53k,49348 - 53199 Fourchette
MP DATA,Data Scientist,40099,38k,43k,37731 - 43294 Fourchette
SUEZ,Data Scientist - Stagiaire mensuel,1130,798,1k,798 - 1433 Fourchette
Activus Services,Data Scientist,36613,29k,42k,29479 - 41899 Fourchette
EURA NOVA,Data Scientist,45525,38k,53k,37731 - 53347 Fourchette
Polynom,Data Scientist,44972,42k,48k,42366 - 47711 Fourchette
Datadog,Data Scientist,55798,55k,70k,55000 - 70000 Fourchette
BVA Group,Data Scientist,38163,33k,39k,33203 - 38830 Fourchette
Groupe PSA,Data Scientist,49477,47k,58k,46503 - 57548 Fourchette
Bpifrance,Data Scientist - Stagiaire mensuel,1407,1k,1k,1279 - 1436 Fourchette
GreenFlex,Data Scientist,46528,44k,48k,44000 - 48000 Fourchette
Allianz Trade,Data Scientist,63901,53k,69k,53452 - 69486 Fourchette
Maisons du Monde,Data Scientist,41689,37k,47k,37225 - 47163 Fourchette
Artefact,Data Scientist - Stagiaire mensuel,1379,1k,2k,1237 - 1500 Fourchette
ProbaYes,Data Scientist,44642,43k,60k,42641 - 60213 Fourchette
Crédit Mutuel Arkea,Data Scientist - Stagiaire mensuel,1569,597,2k,597 - 1594 Fourchette
SAP,Data Scientist,48930,47k,79k,46503 - 79343 Fourchette
CGI,Data Scientist - Stagiaire mensuel,1423,1k,2k,1276 - 1860 Fourchette
Sense4Data,Data Scientist,49541,42k,59k,42000 - 58614 Fourchette
Suricog,Data Scientist,48518,48k,54k,48471 - 53909 Fourchette
Inserm,Data Scientist,41336,32k,48k,31981 - 47861 Fourchette
Manomano,Data Scientist,48478,45k,53k,45000 - 53179 Fourchette
RATP Group,Data Scientist - Mensuel,2128,1k,4k,1200 - 4058 Fourchette
Sopra Steria,Data Scientist - Stagiaire mensuel,1383,1k,1k,1100 - 1497 Fourchette
Meta,Data Scientist,49655,23k,92k,22973 - 92000 Fourchette
LinkValue,Data Scientist,50798,47k,61k,46973 - 61314 Fourchette
Systemx,Data Scientist,40763,15k,43k,14689 - 43127 Fourchette
Air France,Data Scientist - Stagiaire mensuel,1343,1k,2k,1186 - 1680 Fourchette
NOVENCIA Group,Data Scientist,39304,26k,45k,26348 - 44670 Fourchette
BearingPoint,Data Scientist,51257,46k,55k,45912 - 54525 Fourchette
Airbus,Data Scientist - Stagiaire mensuel,1208,1k,1k,1100 - 1226 Fourchette
Coface,Data Scientist,48122,44k,60k,44436 - 59500 Fourchette
CNRS,Data Scientist - Stagiaire mensuel,625,614,4k,614 - 3875 Fourchette
MY TRAFFIC,Data Scientist,49850,47k,50k,47163 - 50000 Fourchette
Enedis,Data Scientist,40707,25k,70k,25000 - 69568 Fourchette
AKUR8,Data Scientist,52693,50k,55k,50103 - 55303 Fourchette
Capgemini Invent,Data Scientist - Stagiaire mensuel,1443,1k,2k,1200 - 1650 Fourchette
Urban Linker,Data Scientist,52695,43k,62k,42598 - 62255 Fourchette
DataScientest,Data Scientist,44880,36k,50k,36313 - 50000 Fourchette
ArianeGroup,Data Scientist - Stagiaire mensuel,1258,1k,2k,1200 - 1750 Fourchette
IQVIA,Data Scientist,55286,44k,66k,44019 - 66000 Fourchette
BNP Paribas,Data Scientist - Mensuel,1809,1k,2k,1417 - 1833 Fourchette
IT&M Stats,Data Scientist,44450,42k,47k,41945 - 47300 Fourchette
Devoteam,Data Scientist,45932,39k,55k,39000 - 55132 Fourchette
Dassault Systemes,Data Scientist - Stagiaire mensuel,1503,1k,2k,1280 - 1927 Fourchette
Equancy,Data Scientist - Stagiaire mensuel,1351,1k,1k,1340 - 1362 Fourchette
Bouygues Telecom,Data Scientist - Stagiaire mensuel,1574,1k,2k,1265 - 1581 Fourchette
Veolia,Data Scientist,52220,40k,58k,39891 - 58054 Fourchette
Extia,Data Scientist,47181,34k,51k,34200 - 51213 Fourchette
Leroy Merlin,Data Scientist,48479,40k,50k,39884 - 50435 Fourchette
BNP Paribas Personal Finance,Data Scientist,50449,48k,56k,48000 - 56332 Fourchette
Airbus,Data Scientist - Mensuel,1527,1k,2k,1341 - 1670 Fourchette
Sanofi,Data Analyst,47065,40k,70k,40315 - 69912 Fourchette
Thales,Data Analyst,46846,40k,72k,40262 - 72338 Fourchette
Renault Group,Data Analyst - Stagiaire mensuel,992,853,2k,853 - 1707 Fourchette
Auchan Retail,Data Analyst,40302,38k,62k,37709 - 62004 Fourchette
Solutec Lyon,Data Analyst,39429,36k,48k,36304 - 47861 Fourchette
DTA Ingénierie,Data Analyst,38248,27k,48k,26546 - 47861 Fourchette
EDF,Data Analyst - Mensuel,1337,1k,1k,1300 - 1489 Fourchette
Avanci,Data Analyst - Mensuel,3431,2k,4k,2127 - 4254 Fourchette
Equativ,Data Analyst,47658,42k,54k,42000 - 54120 Fourchette
Amadeus,Data Analyst,40915,38k,45k,37656 - 45356 Fourchette
ENGIE,Data Analyst,40764,40k,50k,39827 - 49500 Fourchette
La Poste,Data Analyst,47534,43k,50k,42971 - 49904 Fourchette
Micropole,Data Analyst,40174,39k,42k,39000 - 42409 Fourchette
Extia,Data Analyst,37000,36k,43k,36240 - 42573 Fourchette
Dassault Systemes,Data Analyst - Stagiaire mensuel,1335,1k,2k,1042 - 1592 Fourchette
BNP Paribas,Data Analyst - Mensuel,1778,1k,2k,1443 - 2387 Fourchette
KPMG,Data Analyst,43164,37k,56k,37225 - 56268 Fourchette
Tata Consultancy Services,Data Analyst,43810,40k,45k,40350 - 44670 Fourchette
AVISIA,Data Analyst,41900,37k,46k,37200 - 46000 Fourchette
Crédit Agricole,Data Analyst - Stagiaire mensuel,713,639,1k,639 - 1412 Fourchette
Activus Services,Data Analyst,29365,29k,30k,29217 - 29803 Fourchette
SUEZ,Data Analyst,39737,34k,45k,34000 - 45000 Fourchette
Compte-Nickel,Data Analyst,42507,34k,46k,34293 - 46401 Fourchette
Michelin,Data Analyst,42429,16k,50k,16248 - 49934 Fourchette
SNCF,Data Analyst - Mensuel,2625,1k,4k,1258 - 3996 Fourchette
OpenClassrooms,Data Analyst,38078,30k,53k,30130 - 53347 Fourchette
TotalEnergies,Data Analyst - Contrat temporaire mensuel,2329,1k,4k,1260 - 4167 Fourchette
Lincoln (France),Data Analyst,46794,38k,48k,37512 - 47583 Fourchette
Meetic,Data Analyst,54262,44k,67k,44019 - 66992 Fourchette
L'Oréal,Data Analyst - Stagiaire mensuel,1215,943,2k,943 - 1559 Fourchette
CANAL+ Group,Data Analyst,46233,40k,49k,40289 - 48732 Fourchette
Orange,Big Data Engineer,49816,43k,72k,42543 - 72468 Fourchette
Kayrros,Senior Data Scientist,55703,52k,58k,52000 - 58000 Fourchette
Criteo,Senior Data Scientist,63401,61k,83k,60526 - 82798 Fourchette
BNP Paribas,Senior Data Scientist,69526,45k,89k,44670 - 89085 Fourchette
EY,Senior Data Analyst,53040,45k,59k,45000 - 59420 Fourchette
KPMG,Senior Data Analyst,51181,45k,54k,45242 - 53500 Fourchette
Solocal,Senior Data Analyst,59847,50k,66k,49934 - 66453 Fourchette
BNP Paribas,Data Science - Stagiaire mensuel,1799,1k,2k,1487 - 2191 Fourchette
Thales,Data Science - Stagiaire mensuel,1176,863,1k,863 - 1316 Fourchette
Kayrros,Junior Data Scientist,46298,22k,51k,21995 - 51153 Fourchette
Capgemini,Junior Data Engineer,39173,34k,45k,34000 - 44944 Fourchette
Orange,Data Scientist Intern - Mensuel,1410,1k,1k,1309 - 1454 Fourchette
Orange,Data Scientist Intern - Mensuel,1583,1k,2k,1434 - 1978 Fourchette
TotalEnergies,Data Scientist Intern - Mensuel,1352,863,2k,863 - 1878 Fourchette
Capgemini,Data Consultant,48822,42k,59k,41648 - 58614 Fourchette
Assistance Publique Hôpitaux de Paris,Clinical Data Manager - Mensuel,2316,2k,3k,2127 - 2632 Fourchette
Excelya,Clinical Data Manager,44736,38k,48k,38000 - 48123 Fourchette
Orange,Intern data scientist - Mensuel,1427,1k,2k,1385 - 1945 Fourchette
AXA,Intern data scientist - Mensuel,1928,2k,2k,1705 - 2026 Fourchette
Wavestone,Consultant Data Scientist - Stagiaire mensuel,1829,2k,2k,1792 - 1833 Fourchette
Fifty-Five,Data Analytics Consultant,44417,41k,48k,41404 - 48000 Fourchette
"Sopra Steria,""Consultant, Data Analyst"",37353,33k,50k,32833 - 50308 Fourchette"
Devoteam,Big Data Consultant,41608,39k,42k,38815 - 42087 Fourchette
Artefact,Senior Data Consultant,64173,57k,68k,56695 - 68125 Fourchette
Keyrus,consultant data,34566,33k,37k,33000 - 37246 Fourchette
AGYLIS,Ingénieur big data,55737,45k,74k,44670 - 73735 Fourchette
Sia Partners,Consultant data science,49902,49k,59k,49329 - 59477 Fourchette
Sia Partners,Consultant Data Scientist Junior,44507,43k,49k,43261 - 48508 Fourchette
Ubisoft,Data Scientist Assistant - Stagiaire mensuel,1333,1k,1k,1273 - 1400 Fourchette
Independent,Data Scientist,40348,40k,65k,40348 - 65282 Fourchette
Fortia Financial Solutions,Data Scientist,59560,51k,68k,51184 - 67673 Fourchette
Skapánê,Data Scientist,35048,34k,49k,33538 - 48841 Fourchette
Operanka Associates,Data Scientist,46503,26k,48k,26202 - 47861 Fourchette
Groupe BPCE,Data Scientist - Stagiaire mensuel,1661,1k,2k,1158 - 1864 Fourchette
CEGID,Data Scientist,50000,39k,60k,39340 - 60000 Fourchette
Assystem,Data Scientist - Stagiaire mensuel,1062,1k,1k,1033 - 1066 Fourchette
Fifty-Five,Data Scientist,50143,42k,57k,41825 - 57200 Fourchette
Illuin Technology,Data Scientist,51444,51k,69k,51000 - 69271 Fourchette
BioSerenity,Data Scientist,53842,48k,56k,48211 - 56000 Fourchette
STMicroelectronics,Data Scientist - Stagiaire mensuel,1200,888,1k,888 - 1350 Fourchette
Konecranes,Data Scientist,49228,46k,51k,45590 - 50504 Fourchette
Hermès,Data Scientist - Mensuel,1252,1k,1k,1250 - 1350 Fourchette
Orange Business Services,Data Scientist - Stagiaire mensuel,1442,1k,2k,1362 - 1700 Fourchette
RelevanC,Data Scientist,50086,46k,55k,46038 - 54770 Fourchette
ADP,Data Scientist,22852,21k,40k,20961 - 40174 Fourchette
Université Grenoble Alpes,Data Scientist - Mensuel,2603,2k,3k,2017 - 3279 Fourchette
IBM,Data Scientist - Stagiaire mensuel,1493,1k,2k,1430 - 1526 Fourchette
Orange Labs,Data Scientist - Stagiaire mensuel,1345,1k,2k,1205 - 1964 Fourchette
Saagie,Data Scientist,40049,36k,48k,36000 - 47861 Fourchette
StarClay,Data Scientist,40637,40k,48k,40497 - 47971 Fourchette
DXC Technology,Data Scientist,47957,42k,48k,42000 - 47957 Fourchette
Michelin,Data Scientist - Stagiaire,17056,16k,20k,16350 - 20175 Fourchette
Groupama,Data Scientist - Stagiaire mensuel,1383,612,1k,612 - 1489 Fourchette
Axys Consultants,Data Scientist,57905,43k,58k,42641 - 57966 Fourchette
CANAL+ Group,Data Scientist - Stagiaire mensuel,1362,1k,1k,1078 - 1440 Fourchette
Enedis,Data Scientist - Stagiaire mensuel,1279,1k,1k,1276 - 1468 Fourchette
Presage,Data Scientist,34000,34k,37k,34000 - 37322 Fourchette
SAP,Data Scientist - Stagiaire mensuel,1599,1k,2k,1290 - 1812 Fourchette
INRAE,Data Scientist - Mensuel,2390,2k,3k,1686 - 3334 Fourchette
Groupe SeLoger,Data Scientist,51156,47k,54k,46503 - 53750 Fourchette
OVHcloud,Data Scientist,47004,40k,55k,40000 - 55178 Fourchette
Deepki,Data Scientist - Stagiaire mensuel,1155,1k,1k,1081 - 1198 Fourchette
Michelin,Data Scientist,42409,37k,50k,36731 - 50308 Fourchette
Aubay,Data Scientist,42452,41k,44k,41417 - 43646 Fourchette
IDEMIA,Data Scientist,50000,48k,53k,47861 - 53000 Fourchette
Allianz Trade,Data Scientist - Stagiaire mensuel,1595,1k,2k,1400 - 1595 Fourchette
TotalEnergies,Data Scientist - Contrat temporaire mensuel,2082,2k,3k,1887 - 3092 Fourchette
OpenClassrooms,Data Scientist,36849,24k,40k,24000 - 40000 Fourchette
CMA CGM,Data Scientist,59886,57k,61k,56948 - 61265 Fourchette
ClaraVista,Data Scientist,44436,41k,65k,41417 - 64713 Fourchette
Ekimetrics,Data Scientist - Stagiaire mensuel,1412,1k,2k,1320 - 1513 Fourchette
Banque Populaire,Data Scientist,33069,32k,47k,31907 - 46503 Fourchette
Lincoln (France),Data Scientist,50000,38k,52k,37656 - 52374 Fourchette
Keyrus,Data Scientist - Stagiaire mensuel,1279,1k,2k,1064 - 1664 Fourchette
Cognizant Technology Solutions,Data Scientist,44219,42k,45k,41738 - 45442 Fourchette
bioMérieux,Data Scientist - Stagiaire mensuel,1509,1k,2k,1145 - 1572 Fourchette
ENGIE,Data Scientist - Mensuel,1543,2k,2k,1522 - 1589 Fourchette
Aive,Data Scientist,53093,49k,59k,49079 - 58653 Fourchette
Ministère des Armées,Data Scientist,58614,48k,63k,47957 - 63170 Fourchette
EY,Data Scientist - Stagiaire mensuel,1811,1k,2k,1043 - 1972 Fourchette
Consortia,Data Scientist,44000,38k,62k,38169 - 62219 Fourchette
craft ai,Data Scientist,44670,45k,58k,44670 - 58313 Fourchette
CEA,Data Scientist - Stagiaire mensuel,1362,734,1k,734 - 1383 Fourchette
VISEO,Data Scientist,44696,41k,52k,40875 - 51777 Fourchette
